[2026-09-02T11:28:29.239Z] [LOG] [RoutesResolver] MessagesController {/messages}:
[2026-09-02T11:28:29.239Z] [LOG] [RouterExplorer] Mapped {/messages, GET} route
[2026-09-02T11:28:29.239Z] [LOG] [RouterExplorer] Mapped {/messages, POST} route
[2026-09-02T11:28:29.239Z] [LOG] [RouterExplorer] Mapped {/messages/:id, GET} route
[2026-09-02T11:28:29.240Z] [LOG] [RouterExplorer] Mapped {/messages/:id, PATCH} route
[2026-09-02T11:28:29.242Z] [LOG] [RouterExplorer] Mapped {/messages/:id, DELETE} route
[2026-09-02T11:28:29.242Z] [LOG] [RoutesResolver] NotificationsController {/notifications}:
[2026-09-02T11:28:29.243Z] [LOG] [RouterExplorer] Mapped {/notifications, GET} route
[2026-09-02T11:28:29.243Z] [LOG] [RouterExplorer] Mapped {/notifications/:id/read, PATCH} route
[2026-09-02T11:28:29.243Z] [LOG] [RouterExplorer] Mapped {/notifications/:id, DELETE} route
[2026-09-02T11:28:29.243Z] [LOG] [RoutesResolver] WorkflowController {/workflow}:
[2026-09-02T11:28:29.244Z] [LOG] [RouterExplorer] Mapped {/workflow/state, GET} route
[2026-09-02T11:28:29.244Z] [LOG] [RouterExplorer] Mapped {/workflow/state, PUT} route
[2026-09-02T11:28:29.244Z] [LOG] [RouterExplorer] Mapped {/workflow/reset, POST} route
[2026-09-02T11:28:29.245Z] [LOG] [RoutesResolver] UploadController {/upload}:
[2026-09-02T11:31:19.693Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 11ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:20.433Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 9ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:24.737Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 13ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:29.325Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:31.328Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:34.154Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:37.250Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:38.951Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:41.365Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:58.427Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 2ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:31:59.077Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:02.524Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:08.823Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:09.126Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:09.142Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:14.993Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:20.003Z] [LOG] [HTTP-REQUEST] PUT /workflow/state 200 - 27ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:20.292Z] [LOG] [HTTP-REQUEST] GET /workflow/state 200 - 4ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:20.301Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 5ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:20.588Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 6ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:20.634Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 8ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:24.957Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:29.578Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:29.600Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Traveler - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:42.365Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 1ms - Role: Travel Partner - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:42.853Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 10ms - Role: Tour Guide - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:47.404Z] [LOG] [HTTP-REQUEST] GET /workflow/state 304 - 7ms - Role: Tour Guide - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:49.653Z] [LOG] [HTTP-REQUEST] PUT /workflow/state 200 - 18ms - Role: Tour Guide - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-02T11:32:49.990Z] [LOG] [HTTP-REQUEST] GET /workflow/state 200 - 7ms - Role: Tour Guide - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
