[2026-08-25T15:02:09.858Z] [LOG] [RoutesResolver] MessagesController {/messages}:
[2026-08-25T15:02:09.859Z] [LOG] [RouterExplorer] Mapped {/messages, GET} route
[2026-08-25T15:02:09.860Z] [LOG] [RouterExplorer] Mapped {/messages, POST} route
[2026-08-25T15:02:09.860Z] [LOG] [RouterExplorer] Mapped {/messages/:id, GET} route
[2026-08-25T15:02:09.862Z] [LOG] [RouterExplorer] Mapped {/messages/:id, PATCH} route
[2026-08-25T15:02:09.862Z] [LOG] [RouterExplorer] Mapped {/messages/:id, DELETE} route
[2026-08-25T15:02:09.863Z] [LOG] [RoutesResolver] NotificationsController {/notifications}:
[2026-08-25T15:02:09.864Z] [LOG] [RouterExplorer] Mapped {/notifications, GET} route
[2026-08-25T15:02:09.865Z] [LOG] [RouterExplorer] Mapped {/notifications/:id/read, PATCH} route
[2026-08-25T15:02:09.865Z] [LOG] [RouterExplorer] Mapped {/notifications/:id, DELETE} route
[2026-08-25T15:02:09.867Z] [LOG] [RoutesResolver] WorkflowController {/workflow}:
[2026-08-25T15:02:09.869Z] [LOG] [RouterExplorer] Mapped {/workflow/state, GET} route
[2026-08-25T15:02:09.870Z] [LOG] [RouterExplorer] Mapped {/workflow/state, PUT} route
[2026-08-25T15:02:09.870Z] [LOG] [RouterExplorer] Mapped {/workflow/reset, POST} route
[2026-08-25T15:02:09.871Z] [LOG] [RoutesResolver] UploadController {/upload}:
[2026-08-25T15:02:09.872Z] [LOG] [RouterExplorer] Mapped {/upload, POST} route
[2026-08-25T15:02:09.873Z] [LOG] [RouterExplorer] Mapped {/upload/:filename, GET} route
[2026-08-25T15:02:09.876Z] [LOG] [NestApplication] Nest application successfully started
[2026-08-25T15:02:09.892Z] [LOG] [Bootstrap] Application initialized and listening on port 3000
[2026-08-25T15:02:36.893Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 23ms - Role: Super User - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-25T15:02:42.261Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 3ms - Role: Super User - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-25T15:02:54.302Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 3ms - Role: Super User - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-25T15:03:09.888Z] [HEARTBEAT] System operational log sync check. Status: OK
[2026-08-25T15:03:20.104Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 3ms - Role: Super User - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-25T15:03:25.498Z] [LOG] [HTTP-REQUEST] POST /auth/login 201 - 1ms - Role: Super User - IP: 127.0.0.1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
